City,diesel,petrol
Gondia,94.32,107.84
Gopalganj,95.46,108.77
Gorakhpur,89.97,96.79
Greater Mumbai,94.27,106.31
Gulbarga,88.16,102.21
Gumla,95.09,100.28
Guna,94.75,109.59
Guntur,99.62,111.88
Gurdaspur,87.78,97.43
Gurgaon,89.76,96.89
Gwalior,93.84,108.58
Hailakandi,89.19,97.63
Hamirpur,84.9,95.69
Hanumangarh,97.39,112.54
Hapur,89.65,96.48
Harda,94.37,109.15
Hardoi,90.05,96.87
Haridwar,89.54,94.42
Hassan,87.9,102.05
Hathras,89.63,96.48
Haveri,88.77,102.89
Hazaribagh,95.3,100.5
Hingoli,94.41,107.93
Hisar,90.46,97.63
Hojai,89.44,97.9
Hooghly,93.22,106.52
Hoshangabad,94.42,109.2
Hoshiarpur,87.57,97.21
Howrah,92.76,106.03
Hyderabad,97.82,109.66
Idukki,98.03,109.28
Indore,93.86,108.58
Jabalpur,93.93,108.66
Jagatsinghpur,94.28,102.71
Jagitial,98.53,110.43
Jahanabad,94.51,107.74
Jahbua,94.26,109.02
Jaipur,93.72,108.48
Jaisalmer,95.86,110.83
Jajpur,94.96,103.42
Jalandhar,87.68,97.32
Jalaun,90.44,97.29
Jalgaon,92.7,106.17
Jalna,94.73,108.3
Jalor,96.06,111.06
Jalpaiguri,92.48,105.73
Jammu,83.35,97.6
Jamnagar,91.78,96.04
Jamtara,95.19,100.41
Jamui,94.93,108.21
Jangaon,97.45,109.27
Janjgir,95.72,102.74
Jashpur,96.98,104.02
Jaunpur,90.97,97.8
Jayashankar Bhupalpa,97.73,109.57
Jhajjar,89.71,96.84
Jhalawar,94.8,109.69
Jhansi,89.9,96.73
Jhargram,93.53,106.89
Jharsuguda,94.89,103.31
Jhunjhunun,95.03,109.93
Jind,90.02,97.17
Jiribam,88.96,103.21
Jodhpur,94.98,109.86
Jogulamba Gadwal,99.55,111.51
Jorhat,89.01,97.49
Junagadh,93.5,97.73
Kaimur,95.65,108.97
Kaithal,89.66,96.8
Kakching,87.41,101.49
Kalahandi,97.25,105.75
Kalimpong,92.71,105.98
Kamareddy,98.95,110.88
Kamrup,88.68,97.15
Kamrup Metro,88.56,97.02
Kanchipuram,94.41,102.81
Kandhamal,96.41,104.91
Kangpokpi,87.46,101.55
Kangra,84.52,95.27
Kanker,96.89,103.92
Kanniyakumari,95.24,103.6
Kannuaj,90.57,97.41
Kannur,96.93,108.0
Kanpur Rural,89.6,96.41
Kanpur Urban,89.81,96.63
Kapurthala,87.41,97.04
Karaikal,86.12,95.89
Karauli,93.74,108.53
Karbi Anglong,89.63,98.1
Karim Nagar,97.92,109.78
Karimganj,89.74,98.19
Karnal,89.34,96.48
Karur,94.55,102.92
Kasaragod,97.29,108.39
Kashi Ram Nagar,90.07,96.91
Kathua,83.92,98.21
Katihar,95.38,108.7
Katni,94.88,109.7
Kaushambi,89.96,96.76
Kawardha,96.37,103.41
Kendrapara,94.66,103.11
Keonjhar,96.67,105.2
Khagaria,94.34,107.59
Khammam,98.4,110.3
Khandwa,95.06,109.89
Khargone,94.47,109.24
Kheda,91.96,96.22
Khordha,94.76,103.19
Khowai,88.03,99.06
Khunti,94.72,99.91
Kinnaur,88.11,99.44
Kiphere,89.76,101.77
Kishanganj,95.99,109.35
Kishtwar,86.24,101.09
Kodagu,88.9,103.19
Koderma,95.42,100.64
Kohima,87.56,99.45
Kokrajhar,89.1,97.57
Kolar,87.83,101.87
Kolasib,81.23,94.62
Kolhapur,93.01,106.47
Kolkata,92.76,106.03
Kollam,97.95,109.11
Komram Bheem Asifaba,99.48,111.45
Kondagaon,97.4,104.45
Koppal,89.08,103.21
Koraput,99.21,107.79
Korba,95.17,102.18
Koria,96.11,103.13
Kota,93.84,108.62
Kottayam,97.0,108.1
Kozhikode,97.2,108.28
Krishna,99.16,111.38
Krishnagiri,95.83,104.23
Kulgam,86.4,101.26
Kullu,86.06,97.0
Kupwara,87.59,102.65
Kurnool,99.76,112.03
Kurukshetra,89.84,96.99
Kushinagar,89.63,96.44
Kutch,92.33,96.59
Lahul & Spiti,87.9,99.18
Lakhimpur,90.28,98.77
Lalitpur,90.22,97.06
Latehar,95.68,100.87
Latur,93.69,107.19
Lawngtlai,84.03,97.77
Lohardaga,95.53,100.72
Lohit,84.66,95.39
Longding,84.35,95.06
Longleng,88.94,100.76
Lower Dibang Valley,84.8,95.6
Lower Subansiri,82.4,93.03
Luckeesarai,94.76,108.04
Lucknow,89.81,96.62
Ludhiana,87.8,97.45
Lunglei,83.44,97.14
Madhepura,94.89,108.17
Madhubani,95.32,108.63
Madurai,94.98,103.35
Mahabubabad,97.72,109.56
Maharajganj,90.42,97.25
Mahasamund,96.69,103.73
Mahe,83.72,93.8
Mahendragarh,89.95,97.08
Mahisagar,92.9,97.16
Mahoba,90.63,97.48
Mainpuri,90.23,97.08
Majuli,90.78,99.3
Malappuram,97.75,108.9
Malda,92.7,105.96
Malkangiri,100.29,108.92
Mamit,82.42,96.02
Mancherial,98.74,110.65
Mandi,85.38,96.2
Mandla,95.27,110.12
Mandsaur,94.93,109.75
Mandya,88.1,102.17
Mansa,87.57,97.21
Mathura,89.33,96.17
Maunathbhanjan,90.57,97.4
Mayurbhanj,95.6,104.05
Medak,98.24,110.1
Medchal Malkajgiri,97.82,109.66
Meerut,89.64,96.46
Mehabubnagar,98.7,110.6
Mehsana,92.17,96.4
Mewat,89.81,96.94
Mirzapur,90.63,97.45
Moga,88.2,97.87
Mokokchung,88.99,101.02
Mon,88.75,100.62
Moradabad,90.01,96.83
Morbi,92.54,96.77
Morena,94.27,109.04
Morigaon,89.11,97.59
Muktsar,87.48,97.13
Mulugu,97.47,109.29
Mumbai City,94.27,106.31
Mungeli,96.18,103.2
Munger,94.23,107.47
Murshidabad,92.92,106.2
Muzaffarnagar,89.81,96.63
Muzaffarpur,94.79,108.07
Mysore,87.49,101.5
Nabarangapur,99.53,108.13
Nadia,93.78,107.12
Nagaon,89.77,98.26
Nagapattinam,95.79,104.18
Nagarkurnool,98.53,110.41
Nagaur,93.99,108.78
Nagpur,92.59,106.04
Nainital,89.97,94.85
Nalanda,94.42,107.65
Nalbari,89.18,97.66
Nalgonda,98.22,110.11
Namakkal,94.7,103.07
Namsai,84.42,95.13
Nanded,94.78,108.32
Nandurbar,93.49,106.99
Narayanpet,99.51,111.47
Narmada,92.73,96.99
Narsimhapur,94.21,108.96
Nashik,92.42,105.89
Navsari,92.3,96.54
Nawada,94.97,108.24
Nayagarh,95.03,103.47
Neemach,95.15,110.0
Nellore,99.91,112.24
New Delhi,89.62,96.72
Nicobar,79.74,84.1
Nilgiris,96.37,104.96
Nirmal,99.4,111.36
Nizamabad,99.31,111.27
Noney,87.51,101.61
North 24 Parganas,93.29,106.59
North And Middle Andaman,79.74,84.1
North Delhi,89.62,96.72
North District,89.9,102.85
North East Delhi,89.62,96.72
North Garo Hills,84.19,95.67
North Goa,90.29,97.75
North Tripura,87.42,98.4
North West Delhi,89.62,96.72
Nuaparha,97.17,105.68
Osmanabad,93.84,107.35
Pakur,95.97,101.2
Palakkad,97.95,109.11
Palamau,97.54,102.75
Palghar,92.55,106.06
Pali,93.78,108.54
Palwal,90.3,97.44
Panch Mahal,92.18,96.44
Panchkula,90.67,97.84
Panipat,89.53,96.67
Panna,95.48,110.38
Papumpare,82.27,92.83
Parbhani,95.21,108.79
Paschim Bardhaman,92.61,105.86
Paschim Medinipur,93.33,106.67
Patan,92.22,96.46
Pathananthitta,97.67,108.81
Pathankot,88.45,98.12
Patiala,87.52,97.17
Patna,94.04,107.24
Pauri,90.38,95.29
Peddapalli,98.44,110.34
Perambalur,95.01,103.38
Peren,86.99,98.65
Phek,89.1,101.14
Pherzawl,88.78,103.02
Pilibhit,90.31,97.15
Pithoragarh,92.75,97.96
Pondicherry,86.33,96.16
Poonch,85.83,100.6
Porbander,92.52,96.77
Prakasam,99.75,112.05
Pratapgarh,94.21,109.01
Pudukkottai,95.3,103.68
Pulwama,86.91,101.92
Pune,92.3,105.77
Purba Bardhaman,93.1,106.39
Purba Medinipur,92.75,106.05
Puri,95.16,103.61
Purnia,95.39,108.71
Purulia,93.53,106.85
Rae Bareli,89.87,96.68
Raichur,88.59,102.67
Raigarh,95.73,102.75
Raipur,95.44,102.45
Raisen,94.08,108.84
Rajanna Sircilla,98.3,110.18
Rajgarh,94.71,109.53
Rajkot,91.94,96.18
Rajnandgaon,95.84,102.86
Rajouri,84.74,99.18
Rajsamand,94.35,109.17
Ramanagara,88.29,102.39
Ramanathapuram,95.41,103.78
Ramban,85.17,99.84
Ramgarh,95.19,100.38
Rampur,90.26,97.09
Ranchi,94.65,99.84
Rangareddi,97.82,109.66
Ratlam,93.77,108.49
Ratnagiri,93.87,107.43
Rayagada,98.43,107.01
Reasi,84.48,99.1
Rewa,96.06,110.98
Rewari,89.48,96.6
Ri Bhoi,84.18,95.82
Rohtak,90.13,97.26
Rohtas,95.23,108.52
Rudraprayag,92.18,97.28
Rupnagar,88.21,97.88
Sabar Kantha,92.84,97.1
Sagar,93.74,108.48
Saharanpur,90.24,97.07
Saharsa,94.79,108.07
Sahibganj,95.96,101.19
Saiha,84.75,98.61
Salem,95.15,103.54
Samastipur,94.15,107.39
Samba,83.26,97.5
Sambalpur,95.41,103.85
Sambhal,89.99,96.81
Sangareddy,98.6,110.49
Sangli,92.95,106.41
Sangrur,87.4,97.04
Sant Kabir Nagar,90.24,97.07
Sant Ravi Nagar,90.49,97.31
Saraikela Kharasawan,94.58,99.78
Saran,94.71,107.97
Sas Nagar,88.3,97.98
Satara,93.88,107.42
Satna,95.98,110.9
Sawaimadhopur,94.74,109.63
Sehore,94.1,108.87
Senapati,88.0,102.16
Seoni,95.56,110.44
Sepahijhala,88.71,99.79
Serchhip,82.86,96.49
Sewan,95.17,108.46
Shahdol,96.37,111.32
Shahjahanpur,89.72,96.53
Shajapur,94.47,109.27
Shamli,89.97,96.8
Shd Bhagat Singh Ngr,87.99,97.64
Sheikhpura,95.27,108.56
Sheohar,95.25,108.56
Sheopur,96.06,111.0
Shimla,86.3,97.24
Shimoga,88.45,102.62
Shivpuri,95.18,110.04
Shopian,86.59,101.55
Shravasti,90.19,96.99
Sibsagar,89.75,98.24
Siddipet,97.63,109.47
Sidharthnagar,90.86,97.7
Sidhi,95.51,110.35
Sikar,94.27,109.09
Silvassa,89.98,94.43
Simdega,95.62,100.81
Sindhudurg,94.34,107.86
Singrauli,94.03,108.74
Sirmaur,85.9,96.7
Sirohi,94.94,109.82
Sirsa,90.89,98.07
Sitamarhi,95.14,108.44
Sitapur,90.4,97.23
